iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
TUN,Africa,Tunisia,2021-10-03,707983.0,0.0,438.429,24921.0,0.0,27.0,59316.102,0.0,36.732,2087.927,0.0,2.262,0.71,,,,,,,,,2290.0,2920578.0,244.691,0.192,5683.0,0.476,0.096,10.4,people tested,8196113.0,5139289.0,3896327.0,,74060.0,121947.0,68.67,43.06,32.64,,10217.0,36.11,11935764.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,,,,
TUR,Asia,Turkey,2021-10-03,7238237.0,27351.0,28395.286,64661.0,194.0,213.571,85112.937,321.615,333.894,760.335,2.281,2.511,0.83,,,,,,,,,357853.0,86269464.0,1014.425,4.208,351696.0,4.136,0.066,15.1,tests performed,110333793.0,54038516.0,45023309.0,11271968.0,173855.0,356198.0,129.74,63.54,52.94,13.25,4188.0,58.33,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,,,,
UGA,Africa,Uganda,2021-10-03,123976.0,119.0,113.571,3160.0,1.0,2.143,2630.872,2.525,2.41,67.058,0.021,0.045,0.84,,,,,,,,,3838.0,1675142.0,35.548,0.081,3532.0,0.075,0.04,25.2,samples tested,2058553.0,1643067.0,415486.0,,,29633.0,4.37,3.49,0.88,,629.0,81.48,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,,,,
UKR,Europe,Ukraine,2021-10-03,2566875.0,8575.0,9525.286,60514.0,134.0,176.143,59053.662,197.277,219.139,1392.188,3.083,4.052,1.4,,,,,,,,,46604.0,12829867.0,295.165,1.072,33799.0,0.778,0.226,4.4,tests performed,12962507.0,7190641.0,5771866.0,,33924.0,103163.0,29.82,16.54,13.28,,2373.0,58.33,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,,,,
ARE,Asia,United Arab Emirates,2021-10-03,736708.0,184.0,259.143,2102.0,2.0,1.714,73736.551,18.416,25.937,210.388,0.2,0.172,0.68,,,,,,,,,291055.0,83975380.0,8405.033,29.131,308211.0,30.849,0.001,1031.3,tests performed,20196549.0,9346591.0,8308081.0,,69082.0,48076.0,202.15,93.55,83.15,,4812.0,42.13,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,
GBR,Europe,United Kingdom,2021-10-03,7937810.0,29719.0,33921.714,137338.0,43.0,115.571,116378.036,435.717,497.334,2013.544,0.63,1.694,1.04,815.0,11.949,6733.0,98.714,,,5130.0,75.212,1109355.0,273286284.0,4006.712,16.265,970038.0,14.222,0.036,28.0,tests performed,93898348.0,48928952.0,44969396.0,,61601.0,61785.0,137.67,71.74,65.93,,906.0,41.2,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,,,,
USA,North America,United States,2021-10-03,43683048.0,25215.0,107312.429,701169.0,237.0,1812.571,131213.788,75.74,322.342,2106.15,0.712,5.445,0.88,18975.0,56.997,65317.0,196.197,,,55104.0,165.52,331986.0,574986405.0,1727.126,0.997,1278671.0,3.841,0.092,10.9,tests performed,395934825.0,215233625.0,185492579.0,5287357.0,1244542.0,831500.0,117.72,64.0,55.15,1.57,2472.0,61.57,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,,,,
URY,South America,Uruguay,2021-10-03,389185.0,61.0,97.571,6057.0,0.0,0.714,111669.448,17.503,27.996,1737.944,0.0,0.205,0.89,,,,,,,,,15849.0,3575666.0,1025.971,4.548,8148.0,2.338,0.013,75.6,tests performed,6280966.0,2736116.0,2572321.0,972529.0,394.0,16985.0,180.22,78.51,73.81,27.9,4874.0,52.78,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,,,,
UZB,Asia,Uzbekistan,2021-10-03,175267.0,388.0,453.857,1247.0,2.0,3.571,5164.669,11.433,13.374,36.746,0.059,0.105,0.89,,,,,,,,,,,,,,,,,,19969345.0,,4283645.0,,,206058.0,58.84,,12.62,,6072.0,,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,,,,
VUT,Oceania,Vanuatu,2021-10-03,4.0,0.0,0.0,1.0,0.0,0.0,12.72,0.0,0.0,3.18,0.0,0.0,,,,,,,,,,,,,,,,,,,57184.0,42840.0,14344.0,,,938.0,18.18,13.62,4.56,,2983.0,22.22,314464.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,,,,
VAT,Europe,Vatican,2021-10-03,27.0,0.0,0.0,,,0.0,33251.232,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,,,,,,,,,,,75.12,,,,,
VEN,South America,Venezuela,2021-10-03,373332.0,2964.0,1613.143,4510.0,27.0,16.429,13005.842,103.257,56.197,157.116,0.941,0.572,1.19,,,,,,,,,,,,,,,,,,15714857.0,9731808.0,5983049.0,,,276224.0,54.75,33.9,20.84,,9623.0,80.56,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,,,,
VNM,Asia,Vietnam,2021-10-03,808578.0,5376.0,7412.714,19715.0,114.0,161.571,8236.606,54.763,75.51,200.827,1.161,1.646,0.92,,,,,,,,,,20041268.0,204.151,,204176.0,2.08,0.051,19.5,samples tested,44637911.0,34155519.0,10482392.0,,979093.0,895809.0,45.47,34.79,10.68,,9125.0,67.13,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,,,,
WLF,Oceania,Wallis and Futuna,2021-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10438.0,5366.0,5072.0,,,30.0,94.09,48.37,45.72,,2704.0,,11094.0,,,,,,,,,,,,,79.94,,,,,
OWID_WRL,,World,2021-10-03,234949628.0,292048.0,442934.429,4801822.0,3999.0,7577.143,29835.003,37.086,56.246,609.758,0.508,0.962,0.91,,,,,,,,,,,,,,,,,,6335400500.0,3600312166.0,2682475760.0,31772218.0,19254889.0,26680661.0,80.45,45.72,34.06,0.4,3388.0,,7874965732.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,,,,
YEM,Asia,Yemen,2021-10-03,9139.0,0.0,29.286,1734.0,0.0,5.714,299.731,0.0,0.96,56.87,0.0,0.187,0.97,,,,,,,,,,,,,,,,,,356173.0,308025.0,48148.0,,,2216.0,1.17,1.01,0.16,,73.0,35.19,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,,,,
ZMB,Africa,Zambia,2021-10-03,209163.0,21.0,43.714,3649.0,0.0,0.429,11054.743,1.11,2.31,192.858,0.0,0.023,0.71,,,,,,,,,4154.0,2437088.0,128.806,0.22,5556.0,0.294,0.009,106.6,tests performed,753555.0,,426393.0,,13181.0,9137.0,3.98,,2.25,,483.0,43.52,18920657.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,,,,
ZWE,Africa,Zimbabwe,2021-10-03,131129.0,35.0,214.857,4627.0,2.0,3.286,8688.545,2.319,14.236,306.583,0.133,0.218,1.11,,,,,,,,,2248.0,1247592.0,82.665,0.149,4736.0,0.314,0.051,19.7,tests performed,5424753.0,3111495.0,2313258.0,,15753.0,27125.0,35.94,20.62,15.33,,1797.0,65.74,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,,,,
